Source;Target;Label;Weight
2;1;"Edge from 2 to 1";1
3;1;"Edge from 3 to 1";1
4;1;"Edge from 4 to 1";1
5;1;"Edge from 5 to 1";1
6;1;"Edge from 6 to 1";1
7;1;"Edge from 7 to 1";1
9;1;"Edge from 9 to 1";1
10;1;"Edge from 10 to 1";1
13;1;"Edge from 13 to 1";1
14;1;"Edge from 14 to 1";1
15;1;"Edge from 15 to 1";1
16;1;"Edge from 16 to 1";1
30;1;"Edge from 30 to 1";1
1;2;"Edge from 1 to 2";1
3;2;"Edge from 3 to 2";1
4;2;"Edge from 4 to 2";1
5;2;"Edge from 5 to 2";1
6;2;"Edge from 6 to 2";1
7;2;"Edge from 7 to 2";1
8;2;"Edge from 8 to 2";1
9;2;"Edge from 9 to 2";1
10;2;"Edge from 10 to 2";1
13;2;"Edge from 13 to 2";1
14;2;"Edge from 14 to 2";1
15;2;"Edge from 15 to 2";1
16;2;"Edge from 16 to 2";1
17;2;"Edge from 17 to 2";1
26;2;"Edge from 26 to 2";1
28;2;"Edge from 28 to 2";1
30;2;"Edge from 30 to 2";1
1;3;"Edge from 1 to 3";1
2;3;"Edge from 2 to 3";1
4;3;"Edge from 4 to 3";1
5;3;"Edge from 5 to 3";1
6;3;"Edge from 6 to 3";1
7;3;"Edge from 7 to 3";1
9;3;"Edge from 9 to 3";1
10;3;"Edge from 10 to 3";1
13;3;"Edge from 13 to 3";1
14;3;"Edge from 14 to 3";1
15;3;"Edge from 15 to 3";1
16;3;"Edge from 16 to 3";1
17;3;"Edge from 17 to 3";1
28;3;"Edge from 28 to 3";1
1;4;"Edge from 1 to 4";1
2;4;"Edge from 2 to 4";1
3;4;"Edge from 3 to 4";1
5;4;"Edge from 5 to 4";1
9;4;"Edge from 9 to 4";1
10;4;"Edge from 10 to 4";1
14;4;"Edge from 14 to 4";1
15;4;"Edge from 15 to 4";1
16;4;"Edge from 16 to 4";1
1;5;"Edge from 1 to 5";1
2;5;"Edge from 2 to 5";1
3;5;"Edge from 3 to 5";1
6;5;"Edge from 6 to 5";1
14;5;"Edge from 14 to 5";1
15;5;"Edge from 15 to 5";1
1;6;"Edge from 1 to 6";1
2;6;"Edge from 2 to 6";1
3;6;"Edge from 3 to 6";1
4;6;"Edge from 4 to 6";1
5;6;"Edge from 5 to 6";1
7;6;"Edge from 7 to 6";1
8;6;"Edge from 8 to 6";1
9;6;"Edge from 9 to 6";1
10;6;"Edge from 10 to 6";1
11;6;"Edge from 11 to 6";1
12;6;"Edge from 12 to 6";1
13;6;"Edge from 13 to 6";1
14;6;"Edge from 14 to 6";1
15;6;"Edge from 15 to 6";1
17;6;"Edge from 17 to 6";1
26;6;"Edge from 26 to 6";1
27;6;"Edge from 27 to 6";1
28;6;"Edge from 28 to 6";1
30;6;"Edge from 30 to 6";1
1;7;"Edge from 1 to 7";1
